79b876f7-fae9-47a4-8f6a-395b3f814f02	Completed	datapack.no_anomaly
ab22d135-73e5-4ab2-be36-0dc5b7777938	Failed	datapack.build.failed
af6ad3e8-60d7-4dda-bc14-6dd2028fd971	Failed	datapack.build.failed
