a8f322de-ec09-4c1e-9950-5997a117bad9	Failed	datapack.build.failed
e3f02064-034d-46ae-a372-cd662d6f98c0	Completed	datapack.result.collection
e7f120a2-fcdd-4161-abc7-699a26b9d223	Completed	datapack.result.collection
